CurrentClinicName1,CurrentClinicCity,CurrentClinicState,TotNumCycles1,TotNumCycles2
"OFFICES FOR FERTILITY AND REPRODUCTIVE MEDICINE, PC",NEW YORK,NEW YORK,24,28
"REPRODUCTIVE MEDICINE ASSOCIATES OF NEW YORK, LLP",NEW YORK,NEW YORK,"1,625","1,379"
TRUENORTH FERTILITY,NEW YORK,NEW YORK,8,0
WEILL CORNELL MEDICINE,NEW YORK,NEW YORK,"1,508","1,228"
WESTMED REPRODUCTIVE SERVICES,PURCHASE,NEW YORK,93,76
"ROCHESTER FERTILITY CARE, PC",ROCHESTER,NEW YORK,97,13
STRONG FERTILITY CENTER,ROCHESTER,NEW YORK,203,80
"ISLAND REPRODUCTIVE SERVICES, PC",STATEN ISLAND,NEW YORK,262,131
NEW YORK REPRODUCTIVE WELLNESS,SYOSSET,NEW YORK,73,43
CNY FERTILITY CENTER,SYRACUSE,NEW YORK,"2,472","1,088"
WESTCHESTER FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,WHITE PLAINS,NEW YORK,59,41
GOLD COAST IVF,WOODBURY,NEW YORK,160,96
NORTH CAROLINA CENTER FOR REPRODUCTIVE MEDICINE,CARY,NORTH CAROLINA,183,76
PROGRAM FOR ASSISTED REPRODUCTION AT ATRIUM HEALTH'S CAROLINAS MEDICAL CENTER,CHARLOTTE,NORTH CAROLINA,320,163
REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES OF CHARLOTTE,CHARLOTTE,NORTH CAROLINA,424,238
DUKE FERTILITY CENTER,DURHAM,NORTH CAROLINA,120,86
WOMACK ARMY MEDICAL CENTER,FORT BRAGG,NORTH CAROLINA,62,29
"ATLANTIC REPRODUCTIVE MEDICINE SPECIALISTS, PA",RALEIGH,NORTH CAROLINA,115,70
"CAROLINA CONCEPTIONS, PA",RALEIGH,NORTH CAROLINA,399,197
UNC FERTILITY,RALEIGH,NORTH CAROLINA,348,164
CAROLINAS FERTILITY INSTITUTE,WINSTON-SALEM,NORTH CAROLINA,238,119
WAKE FOREST UNIVERSITY CENTER FOR REPRODUCTIVE MEDICINE,WINSTON-SALEM,NORTH CAROLINA,253,135
SANFORD HEALTH REPRODUCTIVE MEDICINE INSTITUTE,FARGO,NORTH DAKOTA,203,44
"FERTILITY UNLIMITED, INC.",AKRON,OHIO,16,8
REPRODUCTIVE GYNECOLOGY & INFERTILITY-AKRON,AKRON,OHIO,387,154
CLEVELAND CLINIC FERTILITY CENTER,BEACHWOOD,OHIO,376,260
UNIVERSITY HOSPITALS FERTILITY CENTER,BEACHWOOD,OHIO,319,137
BETHESDA FERTILITY CENTER,CINCINNATI,OHIO,116,63
INSTITUTE FOR REPRODUCTIVE HEALTH,CINCINNATI,OHIO,821,250
OHIO REPRODUCTIVE MEDICINE,COLUMBUS,OHIO,356,193
SPRINGCREEK FERTILITY,DAYTON,OHIO,148,73
THE FERTILITY WELLNESS INSTITUTE OF OHIO,WEST CHESTER,OHIO,51,26
UC CENTER FOR REPRODUCTIVE HEALTH,WEST CHESTER,OHIO,132,50
REPRODUCTIVE GYNECOLOGY & INFERTILITY-WESTERVILLE,WESTERVILLE,OHIO,280,97
BENNETT FERTILITY INSTITUTE,OKLAHOMA CITY,OKLAHOMA,183,77
OU PHYSICIANS REPRODUCTIVE MEDICINE,OKLAHOMA CITY,OKLAHOMA,186,53
TULSA FERTILITY CENTER,TULSA,OKLAHOMA,264,65
THE FERTILITY CENTER OF OREGON,EUGENE,OREGON,86,44
ORM FERTILITY,PORTLAND,OREGON,663,571
UNIVERSITY FERTILITY CONSULTANTS,PORTLAND,OREGON,262,143
"ABINGTON REPRODUCTIVE MEDICINE, ABINGTON IVF AND GENETICS",ABINGTON,PENNSYLVANIA,369,169
REPRODUCTIVE MEDICINE ASSOCIATES OF PENNSYLVANIA,ALLENTOWN,PENNSYLVANIA,141,89
FAMILY FERTILITY CENTER,BETHLEHEM,PENNSYLVANIA,59,30
MAIN LINE FERTILITY AND REPRODUCTIVE MEDICINE,BRYN MAWR,PENNSYLVANIA,475,276
GEISINGER MEDICAL CENTER FERTILITY PROGRAM,DANVILLE,PENNSYLVANIA,56,33
HAN FERTILITY CENTER,HAVERTOWN,PENNSYLVANIA,58,26
PENN STATE MILTON S. HERSHEY MEDICAL CENTER,HERSHEY,PENNSYLVANIA,62,27
REPRODUCTIVE MEDICINE ASSOCIATES OF PHILADELPHIA,KING OF PRUSSIA,PENNSYLVANIA,594,362
SOCIETY HILL REPRODUCTIVE MEDICINE,PHILADELPHIA,PENNSYLVANIA,52,53
UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PENNSYLVANIA,489,281
AHN CENTER FOR REPRODUCTIVE MEDICINE,PITTSBURGH,PENNSYLVANIA,107,43
CENTER FOR FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,PITTSBURGH,PENNSYLVANIA,211,128
UNIVERSITY OF PITTSBURGH PHYSICIANS,PITTSBURGH,PENNSYLVANIA,301,155
SHADY GROVE FERTILITY-PENNSYLVANIA,WAYNE,PENNSYLVANIA,424,237
"THE FERTILITY CENTER, LLC",YORK,PENNSYLVANIA,112,30
"PEDRO J. BEAUCHAMP, MD IVF PROGRAM DBA",BAYAMON,PUERTO RICO,39,48
CLINICA DE FERTILIDAD HIMA-SAN PABLO CAGUAS,CAGUAS,PUERTO RICO,12,13
GREFI,SAN JUAN,PUERTO RICO,8,9
WOMEN & INFANTS FERTILITY CENTER,PROVIDENCE,RHODE ISLAND,326,182
FERTILITY CENTER OF THE CAROLINAS,GREENVILLE,SOUTH CAROLINA,133,51
"PIEDMONT REPRODUCTIVE ENDOCRINOLOGY GROUP, PA",GREENVILLE,SOUTH CAROLINA,369,181
COASTAL FERTILITY SPECIALISTS,MOUNT PLEASANT,SOUTH CAROLINA,430,163
THE FERTILITY CENTER OF CHARLESTON,MOUNT PLEASANT,SOUTH CAROLINA,85,62
SANFORD WOMEN'S HEALTH,SIOUX FALLS,SOUTH DAKOTA,278,82
"FERTILITY CENTER, LLC",CHATTANOOGA,TENNESSEE,150,62
TENNESSEE REPRODUCTIVE MEDICINE,CHATTANOOGA,TENNESSEE,146,86
TENNESSEE FERTILITY INSTITUTE,FRANKLIN,TENNESSEE,76,28
QUILLEN FERTILITY AND WOMEN'S SERVICES,JOHNSON CITY,TENNESSEE,25,12
EAST TENNESSEE IVF AND ANDROLOGY CENTER,KNOXVILLE,TENNESSEE,1,2
"JEFFREY A. KEENAN, MD DBA",KNOXVILLE,TENNESSEE,103,50
"KUTTEH KE FERTILITY ASSOCIATES OF MEMPHIS, PLLC",MEMPHIS,TENNESSEE,434,154
REGIONAL ONE HEALTH REPRODUCTIVE MEDICINE,MEMPHIS,TENNESSEE,14,4
THE CENTER FOR REPRODUCTIVE HEALTH,NASHVILLE,TENNESSEE,53,31
NASHVILLE FERTILITY CENTER,NASHVILLE,TENNESSEE,463,216
ASPIRE FERTILITY-DALLAS,ADDISON,TEXAS,48,37
DFW CENTER FOR FERTILITY & IVF,ALLEN,TEXAS,29,14
ASPIRE FERTILITY-AUSTIN,AUSTIN,TEXAS,98,87
AUSTIN FERTILITY AND REPRODUCTIVE MEDICINE-WESTLAKE IVF,AUSTIN,TEXAS,94,46
"AUSTIN FERTILITY INSTITUTE, PA",AUSTIN,TEXAS,215,179
TEXAS FERTILITY CENTER,AUSTIN,TEXAS,772,414
CENTER FOR ASSISTED REPRODUCTION,BEDFORD,TEXAS,375,164
DALLAS-FORT WORTH FERTILITY ASSOCIATES,DALLAS,TEXAS,615,348
FERTILITY AND ADVANCED REPRODUCTIVE MEDICINE,DALLAS,TEXAS,77,51
FERTILITY CENTER OF DALLAS,DALLAS,TEXAS,109,57
REPROMED FERTILITY CENTER,DALLAS,TEXAS,176,74
SHER INSTITUTE FOR REPRODUCTIVE MEDICINE-DALLAS,DALLAS,TEXAS,101,49
TEXAS CENTER FOR REPRODUCTIVE HEALTH,DALLAS,TEXAS,23,14
"SOUTHWEST CENTER FOR REPRODUCTIVE HEALTH, PA",EL PASO,TEXAS,43,30
BROOKE ARMY MEDICAL CENTER,FORT SAM HOUSTON,TEXAS,71,33
"FORT WORTH FERTILITY, PA",FORT WORTH,TEXAS,330,147
CCRM DALLAS-FORT WORTH,FRISCO,TEXAS,145,52
DALLAS IVF,FRISCO,TEXAS,429,204
"FERTILITY SPECIALISTS OF TEXAS, PLLC",FRISCO,TEXAS,646,252
ADVANCED FERTILITY CENTER OF TEXAS,HOUSTON,TEXAS,125,87
ASPIRE FERTILITY-HOUSTON,HOUSTON,TEXAS,100,55
COOPER INSTITUTE FOR ADVANCED REPRODUCTIVE MEDICINE,HOUSTON,TEXAS,48,17
FAMILY FERTILITY CENTER,HOUSTON,TEXAS,219,109
THE HEARD INSTITUTE,HOUSTON,TEXAS,8,5
HOUSTON FERTILITY INSTITUTE,HOUSTON,TEXAS,"1,675",798
HOUSTON FERTILITY SPECIALISTS,HOUSTON,TEXAS,529,347
HOUSTON IVF DBA,HOUSTON,TEXAS,361,248
IVFMD,IRVING,TEXAS,268,97
THE CENTRE FOR REPRODUCTIVE MEDICINE,LUBBOCK,TEXAS,59,18
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,LUBBOCK,TEXAS,86,42
REPRODUCTIVE INSTITUTE OF SOUTH TEXAS,MCALLEN,TEXAS,59,39
"ADVANCED FERTILITY CENTERS, PLLC",ODESSA,TEXAS,19,12
IVF PLANO,PLANO,TEXAS,165,82
PRESBYTERIAN HOSPITAL ARTS,PLANO,TEXAS,79,44
ASPIRE FERTILITY-SAN ANTONIO,SAN ANTONIO,TEXAS,385,167
FERTILITY CENTER OF SAN ANTONIO,SAN ANTONIO,TEXAS,235,129
INSTITUTE FOR WOMEN'S HEALTH,SAN ANTONIO,TEXAS,41,19
UT HEALTH SAN ANTONIO REPRODUCTIVE HEALTH AND FERTILITY CENTER,SAN ANTONIO,TEXAS,44,21
SCOTT & WHITE CLINIC-TEMPLE,TEMPLE,TEXAS,109,53
"NORTH HOUSTON CENTER FOR REPRODUCTIVE MEDICINE, PA",THE WOODLANDS,TEXAS,41,17
CENTER OF REPRODUCTIVE MEDICINE (CORM),WEBSTER,TEXAS,369,193
UTAH FERTILITY CENTER,PLEASANT GROVE,UTAH,962,254
UTAH CENTER FOR REPRODUCTIVE MEDICINE,SALT LAKE CITY,UTAH,382,157
REPRODUCTIVE CARE CENTER,SANDY,UTAH,616,152
UNIVERSITY OF VERMONT MEDICAL CENTER,BURLINGTON,VERMONT,57,28
NORTHEASTERN REPRODUCTIVE MEDICINE,COLCHESTER,VERMONT,152,102
WASHINGTON FERTILITY CENTER,ANNANDALE,VIRGINIA,49,33
DOMINION FERTILITY AND ENDOCRINOLOGY,ARLINGTON,VIRGINIA,291,307
"REPRODUCTIVE MEDICINE AND SURGERY CENTER OF VIRGINIA, PLC",CHARLOTTESVILLE,VIRGINIA,245,89
GENETICS & IVF INSTITUTE,FAIRFAX,VIRGINIA,71,64
JONES INSTITUTE FOR REPRODUCTIVE MEDICINE,NORFOLK,VIRGINIA,193,86
VIRGINIA CENTER FOR REPRODUCTIVE MEDICINE,RESTON,VIRGINIA,64,44
SHADY GROVE FERTILITY-RICHMOND,RICHMOND,VIRGINIA,339,201
VCU REPRODUCTIVE MEDICINE,RICHMOND,VIRGINIA,78,64
CCRM NORTHERN VIRGINIA,VIENNA,VIRGINIA,0,2
THE NEW HOPE CENTER FOR REPRODUCTIVE MEDICINE,VIRGINIA BEACH,VIRGINIA,148,60
"OVERLAKE REPRODUCTIVE HEALTH, INC., PS",BELLEVUE,WASHINGTON,130,69
WASHINGTON CENTER FOR REPRODUCTIVE MEDICINE,BELLEVUE,WASHINGTON,115,49
BELLINGHAM IVF & INFERTILITY CARE,BELLINGHAM,WASHINGTON,46,16
POMA FERTILITY,KIRKLAND,WASHINGTON,224,123
OLYMPIA WOMEN'S HEALTH,OLYMPIA,WASHINGTON,30,8
PACIFIC NORTHWEST FERTILITY AND IVF SPECIALISTS,SEATTLE,WASHINGTON,316,309
SEATTLE REPRODUCTIVE MEDICINE,SEATTLE,WASHINGTON,"1,071",674
"SOUND FERTILITY CARE, PLLC",SEATTLE,WASHINGTON,43,54
UNIVERSITY REPRODUCTIVE CARE,SEATTLE,WASHINGTON,89,48
THE CENTER FOR REPRODUCTIVE HEALTH,SPOKANE,WASHINGTON,103,58
SRM SPOKANE,SPOKANE VALLEY,WASHINGTON,128,73
MADIGAN ARMY MEDICAL CENTER,TACOMA,WASHINGTON,72,34
WEST VIRGINIA UNIVERSITY FERTILITY CENTER,CHARLESTON,WEST VIRGINIA,17,3
CABELL HUNTINGTON HOSPITAL,HUNTINGTON,WEST VIRGINIA,22,7
WEST VIRGINIA UNIVERSITY CENTER FOR REPRODUCTIVE MEDICINE,MORGANTOWN,WEST VIRGINIA,112,39
AURORA HEALTH CARE-AURORA FERTILITY SERVICES,GREEN BAY,WISCONSIN,104,30
FROEDTERT & MEDICAL COLLEGE OF WISCONSIN,MENOMONEE FALLS,WISCONSIN,298,153
UNIVERSITY OF WISCONSIN-GENERATIONS FERTILITY CARE,MIDDLETON,WISCONSIN,136,66
WISCONSIN FERTILITY INSTITUTE,MIDDLETON,WISCONSIN,180,88
REPRODUCTIVE SPECIALTY CENTER,MILWAUKEE,WISCONSIN,16,11
"AURORA HEALTH CARE-AURORA FERTILITY SERVICES, WEST ALLIS",WEST ALLIS,WISCONSIN,169,53
